
data;

set RAW := 18PlasticRod 24PlasticRod 30PlasticRod 30MetalRod 36PlasticRod 36MetalRod PlasticLegs 
RubberLegs MetalLegs Fleece Mesh Casing Loops;    # set of raw materials
Casing				7200	3600	3600	3600	3600	3600	3600
Sew					180	180	0	180	180	0	240
Serge				120	0	120	120	120	0	240
Loops				500	0	0	0	0	0	0
#left over from friday
MediumMeshTop		3	0	0	0	0	0	0
;	
		
param: SUB_TRIPLES: sub_usage penalty:=   # defines SUB_TRIPLES as list.
LargeMeshTop, Casing, Loops 	22	-1
MediumMeshTop, Casing, Loops 	18 -1
SmallMeshTop, Casing, Loops  	14 -1

LargeFleeceTop, Serge, Sew 		30 0
MediumFleeceTop, Serge, Sew 	20 0
SmallFleeceTop, Serge, Sew  	10 0

LargePlasticMesh PlasticLegs RubberLegs 	4 1
MediumMesh PlasticLegs RubberLegs 	4 1
SmallMesh PlasticLegs RubberLegs 	4 1
LargePlasticFleece PlasticLegs RubberLegs 	4 1
MediumFleece PlasticLegs RubberLegs	4 1
SmallFleece PlasticLegs RubberLegs 	4 1

